Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
124,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.36457885301083076,99.63542114698917
125,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016,28.577448549581202,71.4225514504188
126,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,2011.csv,2011,34.35670893134785,65.64329106865215
127,Despicable Me,543113985,251513985,291600000,2010.csv,2010,46.30961307321151,53.69038692678849
128,Cinderella,542351353,201151353,341200000,2015.csv,2015,37.08875286976559,62.911247130234415
129,World War Z,540007876,202359711,337648165,2013.csv,2013,37.473473997997765,62.526526002002235
130,Brave,538983207,237283207,301700000,2012.csv,2012,44.024230053609074,55.975769946390926
131,The Revenant,532950503,183637894,349312609,2015.csv,2015,34.45683848055211,65.54316151944789
132,The Meg,530243742,145443742,384800000,2018.csv,2018,27.42960085703378,72.57039914296621
133,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,37.99029052835511,62.00970947164489
134,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,31.690343941583045,68.30965605841696
135,The Boss Baby,527965936,175003033,352962903,2017.csv,2017,33.1466522870521,66.85334771294791
136,Dunkirk,525245546,188045546,337200000,2017.csv,2017,35.80145465907482,64.19854534092518
137,Godzilla,524976069,200676069,324300000,2014.csv,2014,38.225755582013015,61.77424441798699
138,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,30.81633912243746,69.18366087756255
139,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016,27.539649595696382,72.46035040430363
140,Ant-Man,519311965,180202163,339109802,2015.csv,2015,34.70017545234106,65.29982454765893
141,Dr. Seuss' the Grinch,511595957,270620950,240975007,2018.csv,2018,52.89739809261237,47.10260190738763
142,Rio 2,498781117,131538435,367242682,2014.csv,2014,26.37197570572825,73.62802429427175
143,How to Train Your Dragon,494878759,217581231,277297528,2010.csv,2010,43.96657303289107,56.03342696710892
144,Oz the Great and Powerful,493311825,234911825,258400000,2013.csv,2013,47.619337930932424,52.380662069067576
145,Clash of the Titans,493214993,163214888,330000105,2010.csv,2010,33.092037005452504,66.90796299454749
146,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,23.169134358178354,76.83086564182165
147,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017,29.931576650194952,70.06842334980506
148,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014,39.42327418918454,60.57672581081546
149,Rio,483866518,143619809,340246709,2011.csv,2011,29.681700150205476,70.31829984979453
150,Rise of the Planet of the Apes,481800873,176760185,305040688,2011.csv,2011,36.68739408863628,63.31260591136372
151,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015,35.74138795282224,64.25861204717775
152,San Andreas,473990832,155190832,318800000,2015.csv,2015,32.74131513159732,67.25868486840268
153,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,44.725482310222375,55.274517689777625
154,Wreck-It Ralph,471222889,189422889,281800000,2012.csv,2012,40.198151113156136,59.801848886843864
155,The Lego Movie,468060692,257760692,210300000,2014.csv,2014,55.069929264643314,44.930070735356686
156,Bumblebee,467989645,127195589,340794056,2018.csv,2018,27.17914602576303,72.82085397423698
157,Star Trek Into Darkness,467365246,228778661,238586585,2013.csv,2013,48.95072172311246,51.049278276887534
158,The Eight Hundred,461132912,372755,460760157,2020.csv,2020,0.08083461195239952,99.9191653880476
159,Lucy,458863600,126663600,332200000,2014.csv,2014,27.603758502526677,72.39624149747333
160,Thor,449326618,181030624,268295994,2011.csv,2011,40.289316668081305,59.7106833319187
161,La La Land,447407695,151101803,296305892,2016.csv,2016,33.77273227274287,66.22726772725713
162,Les Misérables,441809770,148809770,293000000,2012.csv,2012,33.681864934765926,66.31813506523407
163,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015,20.372273134974854,79.62772686502514
164,Warcraft,439048914,47365290,391683624,2016.csv,2016,10.788157877097039,89.21184212290297
165,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,49.35679995096436,50.64320004903564
166,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017,40.078829005465124,59.921170994534876
167,Pokémon Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,33.28026947731957,66.71973052268044
168,The Secret Life of Pets 2,430051293,158874395,271176898,2019.csv,2019,36.943126921374,63.056873078626
169,Rampage,428028233,101028233,327000000,2018.csv,2018,23.60317035441912,76.39682964558088
170,The Intouchables,426588510,10198820,416389690,2011.csv,2011,2.3907863810021515,97.60921361899784
171,Bad Boys for Life,426505244,206305244,220200000,2020.csv,2020,48.37109200936343,51.62890799063658
172,Django Unchained,425368238,162805434,262562804,2012.csv,2012,38.27399872766241,61.72600127233759
173,The King's Speech,423999102,135453143,288545959,2010.csv,2010,31.94656365097679,68.05343634902322
174,The Captain,416953262,706572,416246690,2019.csv,2019,0.1694607200362903,99.83053927996372
175,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,311299267,2010.csv,2010,25.111958427045945,74.88804157295405
176,Jason Bourne,415484914,162434410,253050504,2016.csv,2016,39.09514028709115,60.90485971290885
177,The Wolverine,414828246,132556852,282271394,2013.csv,2013,31.95463502743253,68.04536497256747
178,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015,30.954807635736444,69.04519236426356
179,Pacific Rim,411002906,101802906,309200000,2013.csv,2013,24.769388370212642,75.23061162978736
180,Kingsman: The Golden Circle,410902662,100234838,310667824,2017.csv,2017,24.393815681826855,75.60618431817315
181,The Mummy,409231607,80227895,329003712,2017.csv,2017,19.6045206742792,80.3954793257208
182,Ice Age: Collision Course,408579038,64063008,344516030,2016.csv,2016,15.679465180981703,84.3205348190183
183,"My People, My Country",405979670,2356683,403622987,2019.csv,2019,0.5804928606400415,99.41950713935996
184,Alita: Battle Angel,404980543,85838210,319142333,2019.csv,2019,21.195638033405473,78.80436196659453
185,Prometheus,403354469,126477084,276877385,2012.csv,2012,31.356311562275017,68.64368843772498
186,TRON: Legacy,400062763,172062763,228000000,2010.csv,2010,43.00894232438224,56.99105767561776
187,Snow White and the Huntsman,396592829,155332381,241260448,2012.csv,2012,39.16671448439125,60.83328551560876
188,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018,30.537033699674488,69.46296630032552
189,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018,54.40417815106289,45.59582184893712
190,The Wolf of Wall Street,392000694,116900694,275100000,2013.csv,2013,29.821552815924353,70.17844718407565
191,Independence Day: Resurgence,389681935,103144286,286537649,2016.csv,2016,26.468839516514926,73.53116048348508
192,Monster Hunt,387053506,32766,387020740,2015.csv,2015,0.008465496240718719,99.99153450375928
193,Godzilla: King of the Monsters,386600138,110500138,276100000,2019.csv,2019,28.58253971963145,71.41746028036854
194,Home,386041607,177397510,208644097,2015.csv,2015,45.95295086936056,54.04704913063944
195,1917,384792488,159227644,225564844,2019.csv,2019,41.38013317973089,58.61986682026911
196,Cars 3,383930656,152901115,231029541,2017.csv,2017,39.82519046356121,60.17480953643879
197,Fifty Shades Darker,381545846,114581250,266964596,2017.csv,2017,30.030794778984436,69.96920522101556
198,Taken 2,376141306,139854287,236287019,2012.csv,2012,37.181315843041176,62.818684156958824
199,G.I. Joe: Retaliation,375740705,122523060,253217645,2013.csv,2013,32.60840743884802,67.39159256115198
200,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,50.65795628491859,49.34204371508141
